USA	1.33	0	0
US-AGLT2	1.33.1	0	0
AGLT2	1.33.1.1	1	0
T2_US_Purdue	1.33.10	0	0
Purdue-RCAC	1.33.10.1	1	0
Purdue-Steele	1.33.10.2	1	0
T2_US_UCSD	1.33.11	0	0
UCSDT2	1.33.11.1	1	0
T2_US_Wisconsin	1.33.12	0	0
GLOW	1.33.12.1	1	0
US-NET2	1.33.2	0	0
BU_ATLAS_Tier2	1.33.2.1	1	0
US-MWT2	1.33.3	0	0
MWT2_UC	1.33.3.1	1	0
MWT2_IU	1.33.3.2	1	0
US-SWT2	1.33.4	0	0
OU_OCHEP_SWT2	1.33.4.1	1	0
UTA_SWT2	1.33.4.2	1	0
SWT2_CPB	1.33.4.3	1	0
US-WT2	1.33.5	0	0
WT2	1.33.5.1	1	0
T2_US_Caltech	1.33.6	0	0
CIT_CMS_T2	1.33.6.1	1	0
T2_US_Florida	1.33.7	0	0
Uflorida-PG	1.33.7.1	1	0
UFlorida-HPC	1.33.7.2	1	0
T2_US_MIT	1.33.8	0	0
MIT_CMS	1.33.8.1	1	0
T2_US_Nebraska	1.33.9	0	0
Nebraska	1.33.9.1	1	0
Brazil	1.4	0	0
BR-SP-SPRACE	1.4.1	0	0
SPRACE	1.4.1.1	1	0
